model_name,academic,news,education,finance,customer,travel,average
GPT-4o,8.466666666666667,8.666666666666666,9.1,9.044444444444444,9.066666666666666,7.844444444444444,8.698148148148148
GPT-3.5-Turbo,5.266666666666667,5.19298245614035,7.0,8.244444444444445,8.266666666666667,6.088888888888889,6.676608187134502
GPT-4o-mini,8.27,8.53,8.80,8.87,8.53,7.80,8.47
Llama3-70B,8.1,7.456140350877193,7.900000000000001,8.777777777777777,7.666666666666668,4.155555555555556,7.3426900584795325
Llama3-8B,6.5,6.982456140350877,7.3,7.266666666666667,7.133333333333334,3.466666666666667,6.441520467836258

BreeXe-8x7B,8.166666666666666,8.140350877192981,8.35,7.622222222222223,7.699999999999999,5.888888888888889,7.644688109161791
Breeze-7B,7.400000000000001,7.333333333333333,7.333333333333333,6.9111111111111105,7.166666666666667,5.111111111111112,6.875925925925927

Deepseek-v2,7.57,	6.67,	8,	8.71,	8.27,	7.95,	7.86

Gemma-2-27B, 5.50 , 3.60 , 3.05 , 7.71 , 6.17 , 1.52 , 4.59 
Gemma-2-9B, 5.63 , 3.61 , 3.17 , 8.04 , 6.00 , 1.50 , 4.66 

Llama3.1-405B, 7.90 , 8.07, 8.25 , 8.22 , 7.63 , 7.21 , 7.88
Llama3.1-70B, 8.03 , 7.72 , 8.25 , 8.02 , 6.83 , 7.07 , 7.65 
Llama3.1-8B, 7.33 , 6.16 , 7.53 , 8.33 , 6.77 , 5.17 , 6.88 

Mistral-Large, 8.17 , 7.77 , 8.33 , 8.58 , 7.83 , 6.76 , 7.91
Mixtral-8x22B,7.966666666666666,7.491228070175438,7.866666666666667,8.133333333333335,8.4,5.8,7.609649122807017
Mistral-Nemo-12B, 7.20, 6.84, 7.42, 7.33, 7.47, 3.55, 6.63
