model_name,all,multi-turn,hard-all,hard-en,long-query
GPT-4o,"1286(3,3)","1304(9,8)","1287(6,6)","1280(8,8)","1305(8,8)"
GPT-4o-mini,"1277(4,4)","1296(11,13)","1273(11,9)","1261(12,14)","1299(15,15)"
GPT-3.5-Turbo,"1117(3,3)","1117(11,8)","1117(17,19)","1116(7,11)","1126(13,14)"
Deepseek-v2,"1220(5,5)","1227(15,14)","1236(9,11)","1225(13,11)","1247(14,15)"
Llama3.1-405B,"1263(5,4)","1289(11,13)","1267(8,11)","1270(13,13)","1284(18,17)"
Llama3.1-70B,"1240(6,6)","1245(13,14)","1233(17,15)","1234(14,17)","1237(21,20)"
Llama3.1-8B,"1162(7,6)","1172(21,19)","1166(10,15)","1163(16,18)","1168(20,24)"
Mistral-Large,"1157(2,3)","1166(9,5)","1165(6,6)","1157(6,6)","1177(11,9)"
Mixtral-8x22B,"1146(3,3)","1130(9,9)","1146(5,8)","1140(6,8)","1155(7,10)"
Gemma-2-27B,"1218(3,4)","1225(11,12)","1200(7,7)","1185(9,10)","1225(13,14)"
Gemma-2-9B,"1187(3,4)","1189(11,9)","1167(8,7)","1154(9,10)","1200(12,11)"
